BB vs LIMP 13BB
Hand,AI,RAISE,CHECK
8d4d,25,0,75
8d5d,0,0,100
8d6d,100,0,0
8d7d,100,0,0
8d2h,0,0,100
8d3h,0,0,100
8d4h,0,25,75
8d5h,0,25,75
8d6h,0,25,75
8d7h,25,0,75
8d2s,0,0,100
8d3s,0,0,100
8d4s,0,25,75
8d5s,0,25,75
8d6s,0,25,75
8d7s,25,0,75
9d2c,0,25,75
9d3c,0,0,100
9d4c,0,0,100
9d5c,0,25,75
9d6c,0,25,75
9d7c,25,0,75
9d8c,0,0,100
9d9c,0,100,0
9d2d,0,25,75
9d3d,0,0,100
9d4d,0,0,100
9d5d,0,0,100
9d6d,25,0,75
9d7d,75,0,25
9d8d,0,50,50
9d2h,0,25,75
9d3h,0,0,100
9d4h,0,0,100
9d5h,0,25,75
9d6h,0,25,75
9d7h,25,0,75
9d8h,0,0,100
9d2s,0,25,75
9d3s,0,0,100
9d4s,0,0,100
9d5s,0,25,75
9d6s,0,25,75
9d7s,25,0,75
9d8s,0,0,100
Td2c,0,25,75
Td3c,0,0,100
Td4c,0,50,50
Td5c,0,0,100
Td6c,0,25,75
Td7c,0,25,75
Td8c,25,25,50
Td9c,0,0,100
TdTc,0,100,0
Td2d,0,0,100
Td3d,0,0,100
Td4d,0,0,100
Td5d,0,0,100
Td6d,25,0,75
Td7d,0,0,100
Td8d,0,0,100
Td9d,0,75,25
Td2h,0,25,75
Td3h,0,0,100
Td4h,0,50,50
Td5h,0,0,100
Td6h,0,25,75
Td7h,0,25,75
Td8h,25,25,50
Td9h,0,0,100
Td2s,0,25,75
Td3s,0,0,100
Td4s,0,50,50
Td5s,0,0,100
Td6s,0,25,75
Td7s,0,25,75
Td8s,25,25,50
Td9s,0,0,100
Jd2c,0,25,75
Jd3c,0,25,75
Jd4c,0,0,100
Jd5c,0,25,75
Jd6c,0,25,75
Jd7c,0,25,75
Jd8c,0,25,75
Jd9c,0,50,50
JdTc,0,0,100
JdJc,0,100,0
Jd2d,0,0,100
Jd3d,0,0,100
Jd4d,0,0,100
Jd5d,0,0,100
Jd6d,0,0,100
Jd7d,0,0,100
Jd8d,0,0,100
Jd9d,0,0,100
JdTd,0,75,25
Jd2h,0,25,75
Jd3h,0,25,75
Jd4h,0,0,100
Jd5h,0,25,75
Jd6h,0,25,75
Jd7h,0,25,75
Jd8h,0,25,75
Jd9h,0,50,50
JdTh,0,0,100
Jd2s,0,25,75
Jd3s,0,25,75
Jd4s,0,0,100
Jd5s,0,25,75
Jd6s,0,25,75
