SB vs ISO 10BB
Hand,AI,CALL,FOLD
Qs6h,0,100,0
Qs7h,0,100,0
Qs8h,0,100,0
Qs9h,0,100,0
QsTh,0,100,0
QsJh,0,100,0
QsQh,0,100,0
Qs2s,0,100,0
Qs3s,0,100,0
Qs4s,0,100,0
Qs7s,0,100,0
Qs8s,0,100,0
Qs9s,0,100,0
QsTs,0,100,0
QsJs,0,100,0
Ks2c,0,100,0
Ks3c,0,100,0
Ks4c,0,100,0
Ks5c,0,100,0
KsTc,100,0,0
KsJc,100,0,0
KsQc,100,0,0
KsKc,0,100,0
Ks2d,0,100,0
Ks3d,0,100,0
Ks4d,0,100,0
Ks5d,0,100,0
KsTd,100,0,0
KsJd,100,0,0
KsQd,100,0,0
KsKd,0,100,0
Ks2h,0,100,0
Ks3h,0,100,0
Ks4h,0,100,0
Ks5h,0,100,0
KsTh,100,0,0
KsJh,100,0,0
KsQh,100,0,0
KsKh,0,100,0
Ks6s,0,100,0
Ks7s,0,100,0
Ks8s,0,100,0
Ks9s,0,100,0
KsTs,100,0,0
KsJs,50,50,0
KsQs,100,0,0
AsQc,100,0,0
AsKc,100,0,0
AsAc,0,100,0
AsQd,100,0,0
AsKd,100,0,0
AsAd,0,100,0
AsQh,100,0,0
AsKh,100,0,0
AsAh,0,100,0
As3s,75,25,0
As4s,75,25,0
As5s,25,75,0
As6s,25,75,0
As7s,75,25,0
As8s,100,0,0
As9s,100,0,0
AsTs,100,0,0
AsJs,100,0,0
AsQs,100,0,0
AsKs,100,0,0
