BB vs OR 22BB
Hand,3BAI,3BNAI,CALL,FOLD
5d3h,0,0,100,0
5d4h,0,25,75,0
5d2s,0,0,0,100
5d3s,0,0,100,0
5d4s,0,25,75,0
6d2c,0,0,0,100
6d3c,0,0,0,100
6d4c,0,0,100,0
6d5c,0,0,100,0
6d6c,100,0,0,0
6d2d,0,0,100,0
6d3d,0,0,100,0
6d4d,0,0,100,0
6d5d,65.2173913,21.7391304,13.0434783,0
6d2h,0,0,0,100
6d3h,0,0,0,100
6d4h,0,0,100,0
6d5h,0,0,100,0
6d2s,0,0,0,100
6d3s,0,0,0,100
6d4s,0,0,100,0
6d5s,0,0,100,0
7d2c,0,0,0,100
7d3c,0,0,0,100
7d4c,0,0,0,100
7d5c,0,0,100,0
7d6c,25,0,75,0
7d7c,100,0,0,0
7d2d,0,0,100,0
7d3d,0,0,100,0
7d4d,0,0,100,0
7d5d,0,0,100,0
7d6d,43.4782609,43.4782609,13.0434783,0
7d2h,0,0,0,100
7d3h,0,0,0,100
7d4h,0,0,0,100
7d5h,0,0,100,0
7d6h,25,0,75,0
7d2s,0,0,0,100
7d3s,0,0,0,100
7d4s,0,0,0,100
7d5s,0,0,100,0
7d6s,25,0,75,0
8d2c,0,0,0,100
8d3c,0,0,0,100
8d4c,0,0,0,100
8d5c,0,0,75,25
8d6c,0,0,100,0
8d7c,0,0,100,0
8d8c,75,25,0,0
8d2d,0,0,100,0
8d3d,0,0,100,0
8d4d,0,0,100,0
8d5d,0,0,100,0
8d6d,75,0,25,0
8d7d,65.2173913,21.7391304,13.0434783,0
8d2h,0,0,0,100
8d3h,0,0,0,100
8d4h,0,0,0,100
8d5h,0,0,75,25
8d6h,0,0,100,0
8d7h,0,0,100,0
8d2s,0,0,0,100
8d3s,0,0,0,100
8d4s,0,0,0,100
8d5s,0,0,75,25
8d6s,0,0,100,0
8d7s,0,0,100,0
9d2c,0,0,0,100
9d3c,0,0,0,100
9d4c,0,0,0,100
9d5c,0,0,0,100
9d6c,0,0,100,0
9d7c,0,0,100,0
9d8c,0,0,100,0
9d9c,75,25,0,0
9d2d,0,0,100,0
9d3d,0,0,100,0
9d4d,0,0,100,0
9d5d,0,0,100,0
9d6d,25,0,75,0
9d7d,75,0,25,0
9d8d,0,50,50,0
9d2h,0,0,0,100
9d3h,0,0,0,100
9d4h,0,0,0,100
9d5h,0,0,0,100
9d6h,0,0,100,0
9d7h,0,0,100,0
9d8h,0,0,100,0
9d2s,0,0,0,100
9d3s,0,0,0,100
9d4s,0,0,0,100
9d5s,0,0,0,100
9d6s,0,0,100,0
9d7s,0,0,100,0
9d8s,0,0,100,0
Td2c,0,0,0,100
Td3c,0,0,0,100
Td4c,0,0,0,100
Td5c,0,0,0,100
Td6c,0,0,100,0
Td7c,0,25,75,0
Td8c,0,0,100,0
Td9c,0,0,100,0
TdTc,0,100,0,0
Td2d,0,0,100,0
Td3d,0,0,100,0
Td4d,0,0,100,0
Td5d,0,0,100,0
Td6d,50,0,50,0
Td7d,0,0,100,0
Td8d,0,0,100,0
Td9d,0,0,100,0
Td2h,0,0,0,100
Td3h,0,0,0,100
Td4h,0,0,0,100
Td5h,0,0,0,100
Td6h,0,0,100,0
Td7h,0,25,75,0
Td8h,0,0,100,0
Td9h,0,0,100,0
Td2s,0,0,0,100
Td3s,0,0,0,100
Td4s,0,0,0,100
Td5s,0,0,0,100
Td6s,0,0,100,0
Td7s,0,25,75,0
Td8s,0,0,100,0
Td9s,0,0,100,0
Jd2c,0,0,0,100
Jd3c,0,0,25,75
Jd4c,0,0,50,50
Jd5c,0,25,75,0
Jd6c,0,0,75,25
Jd7c,0,25,75,0
Jd8c,0,0,100,0
Jd9c,0,0,100,0
JdTc,0,0,100,0
JdJc,0,100,0,0
Jd2d,0,0,100,0
Jd3d,0,0,100,0
Jd4d,0,0,100,0
Jd5d,0,0,100,0
Jd6d,0,0,100,0
Jd7d,0,0,100,0
Jd8d,0,0,100,0
Jd9d,0,0,100,0
JdTd,0,50,50,0
Jd2h,0,0,0,100
Jd3h,0,0,25,75
Jd4h,0,0,50,50
Jd5h,0,25,75,0
Jd6h,0,0,75,25
Jd7h,0,25,75,0
